,شماره سوره,predicted,نوع سوره,نام سوره
0,1,مکی,مکی,فاتحه
1,2,مدنی,مدنی,بقره
2,3,مدنی,مدنی,آل عمران
3,4,مدنی,مدنی,نساء
4,5,مدنی,مدنی,مائده
5,6,مکی,مکی,انعام
6,7,مکی,مکی,اعراف
7,8,مدنی,مدنی,انفال
8,9,مدنی,مدنی,توبه (برائت)
9,10,مکی,مکی,یونس
10,11,مکی,مکی,هود
11,12,مکی,مکی,یوسف
12,13,مکی,مدنی,رعد
13,14,مکی,مکی,ابراهیم
14,15,مکی,مکی,حِجر
15,16,مکی,مکی,نحل
16,17,مکی,مکی,اسراء
17,18,مکی,مکی,کهف
18,19,مکی,مکی,مریم
19,20,مکی,مکی,طه
20,21,مکی,مکی,انبیاء
21,22,مدنی,مدنی,حج
22,23,مکی,مکی,مؤمنون
23,24,مدنی,مدنی,نور
24,25,مکی,مکی,فرقان
25,26,مکی,مکی,شعراء
26,27,مکی,مکی,نمل
27,28,مکی,مکی,قصص
28,29,مکی,مکی,عنکبوت
29,30,مکی,مکی,روم
30,31,مکی,مکی,لقمان
31,32,مکی,مکی,سجدة
32,33,مدنی,مدنی,احزاب
33,34,مکی,مکی,سبأ
34,35,مکی,مکی,فاطر
35,36,مکی,مکی,یس
36,37,مکی,مکی,صافات
37,38,مکی,مکی,ص
38,39,مکی,مکی,زمر
39,40,مکی,مکی,غافر
40,41,مکی,مکی,فصّلت
41,42,مدنی,مکی,شوری
42,43,مکی,مکی,زخرف
43,44,مکی,مکی,دخان
44,45,مکی,مکی,جاثیه
45,46,مکی,مکی,احقاف
46,47,مدنی,مدنی,محمد
47,48,مدنی,مدنی,فتح
48,49,مدنی,مدنی,حجرات
49,50,مکی,مکی,ق
50,51,مکی,مکی,ذاریات
51,52,مکی,مکی,طور
52,53,مکی,مکی,نجم
53,54,مکی,مکی,قمر
54,55,مکی,مدنی,الرحمن
55,56,مکی,مکی,واقعه
56,57,مدنی,مدنی,حدید
57,58,مدنی,مدنی,مجادله
58,59,مدنی,مدنی,حشر
59,60,مدنی,مدنی,ممتحنه
60,61,مدنی,مدنی,صف
61,62,مدنی,مدنی,جمعه
62,63,مدنی,مدنی,منافقون
63,64,مدنی,مدنی,تغابن
64,65,مدنی,مدنی,طلاق
65,66,مدنی,مدنی,تحریم
66,67,مکی,مکی,مُلک
67,68,مکی,مکی,قلم
68,69,مکی,مکی,حاقه
69,70,مکی,مکی,معارج
70,71,مکی,مکی,نوح
71,72,مکی,مکی,جن
72,73,مدنی,مکی,مزّمّل
73,74,مکی,مکی,مدثر
74,75,مکی,مکی,قیامه
75,76,مکی,مدنی,انسان
76,77,مکی,مکی,مرسلات
77,78,مکی,مکی,نبأ
78,79,مکی,مکی,نازعات
79,80,مکی,مکی,عبس
80,81,مکی,مکی,تکویر
81,82,مکی,مکی,انفطار
82,83,مکی,مکی,مطففین
83,84,مکی,مکی,انشقاق
84,85,مدنی,مکی,بروج
85,86,مکی,مکی,طارق
86,87,مکی,مکی,اعلی
87,88,مکی,مکی,غاشیه
88,89,مکی,مکی,فجر
89,90,مکی,مکی,بلد
90,91,مکی,مکی,شمس
91,92,مکی,مکی,لیل
92,93,مکی,مکی,ضحی
93,94,مکی,مکی,شرح
94,95,مدنی,مکی,تین
95,96,مکی,مکی,علق
96,97,مکی,مکی,قدر
97,98,مدنی,مدنی,بینه
98,99,مکی,مدنی,زلزله
99,100,مکی,مکی,عادیات
100,101,مکی,مکی,قارعه
101,102,مکی,مکی,تکاثر
102,103,مدنی,مکی,عصر
103,104,مکی,مکی,همزه
104,105,مکی,مکی,فیل
105,106,مکی,مکی,قریش
106,107,مدنی,مکی,ماعون
107,108,مدنی,مکی,کوثر
108,109,مدنی,مکی,کافرون
109,110,مکی,مدنی,نصر
110,111,مکی,مکی,مسد
111,112,مکی,مکی,اخلاص
112,113,مکی,مکی,فلق
113,114,مکی,مکی,ناس
